Unnamed: 0,Comment,Video Popularity,Comment Popularity,Gender of Sport_Female,Gender of Sport_Male,Club_Arsenal,Club_Bayern München,Club_Chelsea,Club_Club América,Club_Corinthians,Club_Juventus,Club_Manchester United,Club_Napoli,Club_Olympique Lyon,Club_Paris FC,Club_Tottenham Hotspur,Club_Wolfsburg,Club Region_England,Club Region_France,Club Region_Germany,Club Region_Italy,Club Region_Latin America,Language_af,Language_ar,Language_bg,Language_bn,Language_ca,Language_cs,Language_cy,Language_da,Language_de,Language_el,Language_en,Language_es,Language_et,Language_fa,Language_fi,Language_fr,Language_he,Language_hi,Language_hr,Language_hu,Language_id,Language_it,Language_ja,Language_ko,Language_lt,Language_lv,Language_mk,Language_ml,Language_nl,Language_no,Language_pl,Language_pt,Language_ro,Language_ru,Language_sk,Language_sl,Language_so,Language_sq,Language_sv,Language_sw,Language_th,Language_tl,Language_tr,Language_uk,Language_unknown,Language_ur,Language_vi,Language_zh-cn,Language_zh-tw,Channel Structure_Seperate,Channel Structure_Unified,Commenter Gender_male,Commenter Gender_unknown,label,Sexism,Racism,Violence,Appearance,Ability,Non-offensive
90887,Cassidy fantastic ❤❤❤❤,1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,Non-offensive,,,,,,
43753,"Gracias Henry, GRANDE HENRY",0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.0,0.0,0.0,0.0,0.0,1.0
50946,VAMOS VAMOS AMÉRICAAAAAA 🎶🎶🎶🎶🎶🎶🎶,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.0,0.0,0.0,0.0,0.0,1.0
102845,Arteta Get out of my club,1,2,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,0.0,0.0,0.0,0.0,0.0,1.0
21234,Me parece s mal gusto que no pongan el audio,2,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.0,0.0,0.0,0.0,0.0,1.0
13250,La joyita ya necesita titularidad ella sola creaba jugabas aparte que todos sus centros eran bastante precisos,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.0,0.0,0.0,0.0,0.0,1.0
3038,"El club debe ponerle una sanción Disciplinaria a Okeke. No puede conducirse asi, afectando a su equipo, sobre todo ahorita con tanta lesionada.",2,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.0,0.0,0.0,0.0,0.0,1.0
42797,Mi flojo y tronco 🪵 valdez ya te dio miedo que te quiten tu lugar 😅😅😅.  No quien te quiera,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,0.0,0.0,0.0,1.0,0.0,0.0
22386,Muy bien a poner al equipo en el mejor estado físico de la liga 💯,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,0.0,0.0,0.0,0.0,0.0,1.0
24432,"Veo a un entrenador conformista, no lo veo, como entrenador , nooo sabe motivar y de sicologia no lo veo tampoco, debería de estimular a las chamacas, son buenas jugando.",0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,1.0,0.0,0.0,0.0,0.0,0.0
